"tipo_ciclo","funcionario","socio","score_match","metodo_match","orgao","empresa","cnpj","cargo","funcao","vinculo","lotacao","remuneracao_total","periodo_inicio","periodo_fim","data_contrato","valor_contrato","descricao","qualificacao_socio"
"triangulo","FUNC-A85C8C","SOC-A85C8C","100","exato","PM_ATIVOS","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SARGENTO 1","CB PM","ESTATUTARIO","AGUARDANDO RESERVA","9879,84","2018-02","2020-01","02/01/2012","55.383,48","Contratação dos serviços de processamento do sistema Controle de Pessoal - CPPM.","Conselheiro de Administração"
"triangulo","FUNC-A85C8C","SOC-A85C8C","100","exato","PM_ATIVOS","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SARGENTO 1","CB PM","ESTATUTARIO","AGUARDANDO RESERVA","9879,84","2018-02","2020-01","02/01/2012","15.600,00","Contratação dos serviços de informática de forma eventual","Conselheiro de Administração"
"triangulo","FUNC-A85C8C","SOC-A85C8C","100","exato","PM_ATIVOS","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SARGENTO 1","CB PM","ESTATUTARIO","AGUARDANDO RESERVA","9879,84","2018-02","2020-01","06/08/2012","213.479,40","CONTRATAÇÃO DE FORNECIMENTO DE CIRCUITO DE TRANSMISSÃO DE DADOS; SERVIÇO DE ACESSO À REDE INTERNET E SERVIÇO DE FIREWALL","Conselheiro de Administração"
"triangulo","FUNC-A85C8C","SOC-A85C8C","100","exato","PM_ATIVOS","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SARGENTO 1","CB PM","ESTATUTARIO","AGUARDANDO RESERVA","9879,84","2018-02","2020-01","01/06/2017","113.400,00","SERVIÇO DE ACESSO À INTERNET DEDICADO, COM VELOCIDADE DE 15 Mbps DE UPLOAD/DOWNLOAD.","Conselheiro de Administração"
"triangulo","FUNC-A85C8C","SOC-A85C8C","100","exato","PM_ATIVOS","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SARGENTO 1","CB PM","ESTATUTARIO","AGUARDANDO RESERVA","9879,84","2018-02","2020-01","02/01/2018","82.273,20","PRESTAÇÃO DE SERVIÇO DE PROCESSAMENTO DO SISTEMA DE CADASTRO DE PESSOAL DA POLÍCIA MILITAR DO ESTADO DO AMAZONAS.","Conselheiro de Administração"
"triangulo","FUNC-A85C8C","SOC-A85C8C","100","exato","PM_ATIVOS","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SARGENTO 1","CB PM","ESTATUTARIO","AGUARDANDO RESERVA","9879,84","2018-02","2020-01","02/01/2023","97.317,60","Prestação de Serviços de Processamento do Sistema de Controle de Pessoal - CPPM, por 12 (doze) meses, visando atender as necessidades da Polícia Militar do Amazonas.","Conselheiro de Administração"
"triangulo","FUNC-34B5FD","SOC-34B5FD","100","exato","CASA_CIVIL","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","CONSULTOR TECNICO II","NAO INFORMADO","CARGO COMISSION.S/VINCULO","CASA CIVIL","6500,00","2020-07","2026-02","01/04/2011","225.361,92","Prestação dos serviços técnicos em telecomunicações de disponibilidade de acesso remoto à rede mundial internet, com velocidade de 4 Mbps, para a Sede do Governo do Estado do Amazonas.","Conselheiro de Administração"
"triangulo","FUNC-34B5FD","SOC-34B5FD","100","exato","CASA_CIVIL","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","CONSULTOR TECNICO II","NAO INFORMADO","CARGO COMISSION.S/VINCULO","CASA CIVIL","6500,00","2020-07","2026-02","25/04/2012","229.801,20","SERVIÇOS TÉCNICOS EM TELECOMUNICAÇÕES DE DISPONIBILIDADE DE ACESSO REMOTO À REDE MUNDIAL INTERNET, COM VELOCIDADE DEDICADA DE 4,5Mbps, GESTÃO DE REDES LOCAIS (FIREWALL UTM) E A CESSÃO DE USO DO SISTEMA DE PROTOCOLO - SPROWEB, PARA SEDE DO GOVERNO DO ESTADO DO AMAZONAS.","Conselheiro de Administração"
"triangulo","FUNC-34B5FD","SOC-34B5FD","100","exato","CASA_CIVIL","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","CONSULTOR TECNICO II","NAO INFORMADO","CARGO COMISSION.S/VINCULO","CASA CIVIL","6500,00","2020-07","2026-02","02/09/2013","82.086,68","A prestação de serviços eventuais de informatica para Sede do Governo do Estado do Amazonas e Predio Anexo","Conselheiro de Administração"
"triangulo","FUNC-34B5FD","SOC-34B5FD","100","exato","CASA_CIVIL","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","CONSULTOR TECNICO II","NAO INFORMADO","CARGO COMISSION.S/VINCULO","CASA CIVIL","6500,00","2020-07","2026-02","02/09/2013","543.909,48","Os serviços de assessoria técnica em informatica, para a Sede do Governo do Estado do Amazonas e Prédio Anexo.","Conselheiro de Administração"
"triangulo","FUNC-34B5FD","SOC-34B5FD","100","exato","CASA_CIVIL","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","CONSULTOR TECNICO II","NAO INFORMADO","CARGO COMISSION.S/VINCULO","CASA CIVIL","6500,00","2020-07","2026-02","27/12/2016","20.755,88","Serviço de implantação de SOFTWARE, licença de SOFTWARE.","Conselheiro de Administração"
"triangulo","FUNC-34B5FD","SOC-34B5FD","100","exato","CASA_CIVIL","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","CONSULTOR TECNICO II","NAO INFORMADO","CARGO COMISSION.S/VINCULO","CASA CIVIL","6500,00","2020-07","2026-02","06/12/2016","20.755,88","Contratação para prestação de serviços de licença de uso do sistema de informação compreendendo a disponibilização de gestor de conteúdo WEB ao FPS, para publicação de informações, noticias, vídeos e imagens via website, de acordo com o padrão de comunicação visual do Governo do Estado.","Conselheiro de Administração"
"triangulo","FUNC-34B5FD","SOC-34B5FD","100","exato","CASA_CIVIL","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","CONSULTOR TECNICO II","NAO INFORMADO","CARGO COMISSION.S/VINCULO","CASA CIVIL","6500,00","2020-07","2026-02","12/06/2018","275.882,52","PRESTAÇÃO DE SERVIÇOS DE FIREWALL, DISPONIBILIZAÇÃO DE EQUIPAMENTOS, SERVIÇOS DE REDE, SISTEMA DE PROTOCOLO, LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO, GESTÃO DE CONTEÚDO WEB.","Conselheiro de Administração"
