Orgao_Publico | folha_pag_responsavel | Lotacao
AMAZONPREV | AMAZONPREV | -
ARSEPAM | ARSEPAM | -
ARSEPAM (ARSAM) | ARSEPAM | -
CAMI I | SES | MATERNIDADE DR.ANTENOR BARBOSA
CAMI II | SES | MATER.NAZIRA DAOU
CASA CIVIL | CASA_CIVIL | -
CASA CIVIL (SEGOV) | CASA_CIVIL, SEGOV | -
CASA MILITAR | CASA_MILITAR | -
CEMA | SES | CEMA
CBMAM | CBMAM | -
CESMAM | SES | CENTRO SAUD.MENT.DO AM-CESMAN
CETAM | CETAM | -
CETAM (CETAM) | CETAM | -
CGE | CGE | -
CGE (OGE) | CGE | -
CSC | CSC | -
CSC (CGL) | CSC | -
DCAM | DEFESA_CIVIL | -
DETRAN-Am | DETRAN | -
DETRAN-Am (DETRAN-Am) | (DETRAN) | -
ERGSP | ERGSP | -
FAAR | FAAR | -
FAPEAM | FAPEAM | -
FAPEAM (FAPEAM) | FAPEAM | -
FCECON | FCECON | -
FEAS | SEAS | -
FEC | SEC | -
FEMA | SEMA | -
FEPDEC | DEFESA_CIVIL | -
FEPIAM | FEPIAM | -
FEPIAM | SEIND | -
FERF | SECT | -
FERF | SECT | -
FERH/AM | SEMA | -
FES | SES | -
FESP | SSP, CBMAM | -
FET | SETRAB | -
FHAJ | FHAJ | -
FHAJ (SUSAM) | SES | -
FHCFM | SES | -
FHEMOAM | FHEMOAM | -
FMT | FMT | -
FRAI | SEFAZ | -
FUHAM | FUHAM | -
FUNATI | FUNATI | -
FUNDECON | PROCON | -
FUNDECON (PROCON) | PROCON | -
FUNDECON (PROCON-AM) | PROCON | -
FUNDPGE | PGE | -
FUNESBOM | CBMAM | -
FUPEAM | SEAP | -
FVS/AM | FVS | -
GVG | SGVG | -
HGGR | SES | HOSP.ASILO DR.GERALDO DA ROCHA
HICP | SES | CHAPOT PREVOST, HOSPITAL CHAPOT PREVOST
HIDF | SES | HOSPITAL INF.DR.FAJARDO CONTR.
HIDF (SUSAM) | SES | HOSPITAL INF.DR.FAJARDO CONTR.
HPS JLUCIO | SES | P.S.JOAO LUCIO
HPSC OESTE | SES | P.S.DA CRIANCA ZONA OESTE, P.S.DA ZONA OESTE
HPSC ZONA LESTE | SES |  P.S.DA CRIANCA ZONA LESTE, P.S.C ZONA LESTE
ICAM | SES | INSTITUTO DA CRIANCA - ICAM
IDAM | SEPROR | -
IDM | SES | INSTITUTO DA MULHER
IO | IMPRENSA_OFICIAL | -
IPAAM | IPAAM | -
IPEM | IPEM-AM | -
JUCEA | JUCEA | -
MAM | SES | MAT.AZILDA MARREIRO
MAT ANA BRAGA | SES | MATERNIDADE ANA BRAGA
MBM | SES | MATERNIDADE AZILDA MARREIRO
OGE | CGE | -
PAM CODAJAS | SES | POLICLINICA CODAJAS
PC | policia_civil | -
PGGM | PGGM | -
PJSB | SES | POLICLINICA JOAO DOS S.BRAGA
PLAALX | SES | Centro de saude Antônio Aleixo, CENTRO DE SAUDE ANTONIO ALEIXO
PMAM | PM_ATIVOS, PM_CIVIS | -
PROCON-AM | PROCON | -
PS 28 AGOSTO | SES | PRONTO SOCORRO 28 DE AGOSTO
PSC SUL | SES | P.S.C.ZONA SUL
PZL | SES | POLICLINICA ZENO LANZINI
SEAD | SEAD | -
SEAP | SEAP | -
SEAP (CAM) | SEAP | -
SEAP (CPAJ) | SEAP | -
SEAP (CPDRPV) | SEAP | -
SEAP (PFM) | SEAP | -
SEAP (SEJUSC) | SEAP | -
SEAP (SEXAD) | SEAP | -
SEAS | SEAS | -
SEC | SEC | -
SECOM | SECOM | -
SECOM (AGECOM) | SECOM | -
SECT | SECT | -
SECT (FERF) | SECT | -
SECT (ITEAM) | SECT | -
SEDECTI | SEDECTI | -
SEDECTI (SECTI) | SECTI | -
SEDECTI (SETRAB) | SEDECTI | -
SEDEL | SEDEL | -
SEDEL (FAAR) | SEDEL, FAAR | -
SEDUC | SEDUC | -
SEDURB | SEDURB | -
SEDURB (SEINFRA) | SEDURB, SEINFRA | -
SEFAZ | SEFAZ | -
SEFAZ (SEFAZ-FUNDO) | SEFAZ | -
SEFAZ-EG | SEFAZ | -
SEFAZ-FUNDO | SEFAZ | -
SEFAZ-FUNDO (SEFAZ) | SEFAZ | -
SEINFRA | SEINFRA | -
SEINFRA (SRMM) | SEINFRA | -
SEJUSC | SEJUSC | -
SEJUSC (OGE) | SEJUSC, OGE | -
SEJUSC (SEARP) | SEJUSC, SEARP | -
SEJUSC (SEAS) | SEJUSC, SEAS | -
SEJUSC (SEPED) | SEJUSC, SEPED | -
SEMA | SEMA | -
SEMA (FERH/AM) | SEMA, FERH/AM | -
SEMIG | SEMIG | -
SEPA | SEPA | -
SEPCD | SEPCD | -
SEPCD (SEJUSC) | SEPCD, SEJUSC | -
SEPET | SEPET | -
SEPET (SEMA) | SEPET, SEMA | -
SEPROR | SEPROR | -
SERFI | SERFI | -
SNPH | SNPH | -
SPA ALVORADA | SES | SPA ALVORADA
SPA ALVORADA | SES | SPA ALVORADA
SPA DR PLATAO | SES | SPA E HOSP.ARISTOTELES PLATAO
SPA JOSÉ LINS | SES | SPA E POLIC.JOSE L.ALBUQUERQUE
SPA JOVENTINA | SES | SPA JOVENTINA DIAS
SPA MADY | SES | SPA ELIAMEME MADY
SPA SUL | SES | SPA ZONA SUL
SPADC | SES | SPA DANILO CORREA
SPASR | SES | SPA SAO RAIMUNDO
SSP | SSP | -
SUHAB | SUHAB | -
SUHAB (SUHAB) | SUHAB | -
SUSAM | SES | -
SUSAM (CAMI I) | SES | MATERNIDADE DR.ANTENOR BARBOSA
SUSAM (FES) | SES | MATER.NAZIRA DAOU
SUSAM (FHCFM) | SES | -
SUSAM (FMT) | FMT | -
SUSAM (HGGR) | SES | HOSP.ASILO DR.GERALDO DA ROCHA
SUSAM (HICP) | SES | CHAPOT PREVOST, HOSPITAL CHAPOT PREVOST
SUSAM (HIDF) | SES | HOSPITAL INF.DR.FAJARDO CONTR.
SUSAM (HPS JLUCIO) | SES | P.S.JOAO LUCIO
SUSAM (HPSC OESTE) | SES | P.S.DA CRIANCA ZONA OESTE, P.S.DA ZONA OESTE
SUSAM (HPSC ZONA LESTE) | SES | P.S.DA CRIANCA ZONA LESTE, P.S.C ZONA LESTE
SUSAM (ICAM) | SES | INSTITUTO DA CRIANCA - ICAM
SUSAM (IDM) | SES | INSTITUTO DA MULHER
SUSAM (MAM) | SES | CESMAN
SUSAM (MAT ANA BRAGA) | SES | MATERNIDADE ANA BRAGA
SUSAM (PAM CODAJAS) | SES | POLICLINICA CODAJAS
SUSAM (PGGM) | SES, PGGM | -
SUSAM (PS 28 AGOSTO) | SES | PRONTO SOCORRO 28 DE AGOSTO
SUSAM (PSC SUL) | SES | P.S.C.ZONA SUL, P.S. DA CRIANCA DA ZONA SUL
SUSAM (SPA ALVORADA) | SES | SPA ALVORADA
SUSAM (SPA COROADO) | SES | SPA COROADO
SUSAM (SPA DR PLATAO) | SES | SPA E HOSP.ARISTOTELES PLATAO
SUSAM (SPA JOSÉ LINS) | SES | SPA E POLIC.JOSE L.ALBUQUERQUE
SUSAM (SPA JOVENTINA) | SES | SPA JOVENTINA DIAS
SUSAM (SPA MADY) | SES | SPA ELIAMEME MADY
SUSAM (SPA SUL) | SES | SPA ZONA SUL
SUSAM (SPASR) | SES | SPA SAO RAIMUNDO
UEA | UEA | -
UEA (UEA) | UEA | -
UGPADEAM | UGPADEAM | -
UGPE | UGPE | -
UGPE (SEPCD) | UGPE, SEPCD | -
UGPE (UGPE) | UGPE | -
UPACN | UPACN | -
