nome_funcionario_normalizado,orgao,nome_socio_normalizado,cnpj_empresa,razao_social,score,metodo
PES-9B9798,AMAZONPREV,PES-9B9798,13293239000149,C. C. N. DE SENA TECNOLOGIA DA AMAZONIA LTDA,"100,00",exato
PES-80B37B,AMAZONPREV,PES-80B37B,01170140000170,FAZENDARIO CLUBE,"100,00",exato
PES-5CF874,AMAZONPREV,PES-5CF874,00624961000177,COMPANHIA DE DESENVOLVIMENTO DO EST DO AMAZONAS CIAMA,"100,00",exato
PES-EC932B,APOSENTADOS_ALEAM 21-21-25-214,PES-EC932B,34534552000100,"EMAN TRANSPORTE, COMERCIO E SERVICO LTDA","100,00",exato
PES-0BB91D,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-0BB91D,08601769000177,COVEMA - COOPERATIVA VERDE DE MANICORE,"100,00",exato
PES-1A2D45,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-1A2D45,04812092000165,INSTITUTO MEDICO DE CLINICA E PEDIATRIA DO ESTADO DO AMAZONAS LTDA,"100,00",exato
PES-F3E71A,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-F3E71A,11041243000194,SIMEA - SOCIEDADE INTEGRADA MEDICA DO AMAZONAS LTDA,"100,00",exato
PES-9A2445,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-9A2445,04487476000150,PRONTOCORD PRONTO SOCORRO CARDIO RESPIRATORIO E HOSPITAL DO CORACAO LTDA,"100,00",exato
PES-483BA5,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-483BA5,84540376000189,INSTITUTO DE GINECOLOGIA E OBSTETRICIA DO ESTADO DO AMAZONAS S/S LTDA,"100,00",exato
PES-E493A3,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-E493A3,04238047000149,SOCIEDADE PEDIATRICA DE ASSISTENCIA NEONATAL DO AMAZONAS S/S LTDA,"100,00",exato
PES-1613DC,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-1613DC,84540376000189,INSTITUTO DE GINECOLOGIA E OBSTETRICIA DO ESTADO DO AMAZONAS S/S LTDA,"100,00",exato
PES-63490B,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-63490B,09060349000193,TOTAL SAUDE SERVICOS MEDICOS E ENFERMAGEM LTDA,"100,00",exato
PES-8CDE14,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-8CDE14,84540376000189,INSTITUTO DE GINECOLOGIA E OBSTETRICIA DO ESTADO DO AMAZONAS S/S LTDA,"100,00",exato
PES-C43E67,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-C43E67,04238047000149,SOCIEDADE PEDIATRICA DE ASSISTENCIA NEONATAL DO AMAZONAS S/S LTDA,"100,00",exato
PES-C3CE34,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-C3CE34,84121086000109,UNI IMAGEM CENTRO ICONODIAGNOSTICO DE MANAUS LTDA,"100,00",exato
PES-71BB61,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-71BB61,84540376000189,INSTITUTO DE GINECOLOGIA E OBSTETRICIA DO ESTADO DO AMAZONAS S/S LTDA,"100,00",exato
PES-1B1A02,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-1B1A02,63689681000167,ICEA INSTITUTO DE CIRURGIA DO ESTADO DO AMAZONAS LTDA,"100,00",exato
PES-F36C55,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-F36C55,04812092000165,INSTITUTO MEDICO DE CLINICA E PEDIATRIA DO ESTADO DO AMAZONAS LTDA,"100,00",exato
PES-CB00C8,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-CB00C8,04238047000149,SOCIEDADE PEDIATRICA DE ASSISTENCIA NEONATAL DO AMAZONAS S/S LTDA,"100,00",exato
PES-6DCE2B,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-6DCE2B,15798457000160,ASSOCIACAO DOS ITACOATIARENSES RESIDENTES EM MANAUS,"100,00",exato
PES-CD79EA,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-CD79EA,21997155000114,VIXBOT SOLUCOES EM INFORMATICA LTDA,"100,00",exato
PES-EB18C5,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-EB18C5,11439746000112,ITO-AM INSTITUTO DE TRAUMATO-ORTOPEDIA DO AMAZONAS SOCIEDADE SIMPLES LTDA,"100,00",exato
PES-3849D1,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-3849D1,84540376000189,INSTITUTO DE GINECOLOGIA E OBSTETRICIA DO ESTADO DO AMAZONAS S/S LTDA,"100,00",exato
PES-B95468,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-B95468,09619542000111,IMBAUBA PRODUCOES E EVENTOS LTDA,"100,00",exato
PES-26D074,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-26D074,04238047000149,SOCIEDADE PEDIATRICA DE ASSISTENCIA NEONATAL DO AMAZONAS S/S LTDA,"100,00",exato
PES-FF791C,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-FF791C,11788175000121,ANESTESIOLOGISTAS ASSOCIADOS DO AMAZONAS LTDA,"100,00",exato
