nome_funcionario_normalizado,orgao,nome_socio_normalizado,cnpj_empresa,razao_social,score,metodo
PES-7958F8,PRODAM,PES-7958F8,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-86B331,CASA_CIVIL,PES-86B331,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-CE3160,PRODAM,PES-CE3160,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-2586EB,SEJUSC,PES-2586EB,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-2586EB,SETRAB,PES-2586EB,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-7F3B6C,SEFAZ,PES-7F3B6C,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-2F9AA0,PGE,PES-2F9AA0,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-2F9AA0,UEA,PES-2F9AA0,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-0A2EE9,CGE,PES-0A2EE9,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-0A2EE9,SEAD,PES-0A2EE9,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-556CF0,PRODAM,PES-556CF0,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-825E4D,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-825E4D,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-825E4D,PM_ATIVOS,PES-825E4D,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-825E4D,PRODAM,PES-825E4D,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A,"100,00",exato
PES-F301D5,SES,PES-F301D5,02341467000120,AMAZONAS ENERGIA S.A,"100,00",exato
PES-246209,PM_ATIVOS,PES-246209,19170575000180,PERFIL SAUDE ATIVIDADE MEDICA LTDA,"100,00",exato
PES-246209,SES,PES-246209,19170575000180,PERFIL SAUDE ATIVIDADE MEDICA LTDA,"100,00",exato
PES-E092B4,SEDUC,PES-E092B4,29091842000188,K R G TEIXEIRA LTDA,"100,00",exato
PES-7630D6,PGE,PES-7630D6,04804795000141,ASSOCIACAO DOS PROCURADORES DO ESTADO DO AMAZONAS-APEAM,"100,00",exato
PES-F58038,ARSEPAM,PES-F58038,04409637000197,INSTITUTO EUVALDO LODI,"100,00",exato
PES-F58038,SEFAZ,PES-F58038,04409637000197,INSTITUTO EUVALDO LODI,"100,00",exato
PES-50CBE5,FHEMOAM,PES-50CBE5,00689453000177,SEVEN INCORPORADORA LTDA,"100,00",exato
PES-890CC0,SEC,PES-890CC0,03183937000138,AGENCIA DE FOMENTO DO ESTADO DO AMAZONAS S.A. - AFEAM,"100,00",exato
PES-7DC8E8,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-7DC8E8,04769766000196,ICOTUR TRANSPORTE E TURISMO LTDA,"100,00",exato
PES-79521E,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-79521E,04769766000196,ICOTUR TRANSPORTE E TURISMO LTDA,"100,00",exato
PES-3A768B,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-3A768B,04769766000196,ICOTUR TRANSPORTE E TURISMO LTDA,"100,00",exato
PES-45049B,CBMAM,PES-45049B,02246183000155,WSK EMPREENDIMENTOS E SERVICOS LTDA FALIDO,"100,00",exato
PES-005C56,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-005C56,63679351000190,DANTAS TRANSPORTES E INSTALACOES LTDA,"100,00",exato
PES-005C56,POLICIA_CIVIL,PES-005C56,63679351000190,DANTAS TRANSPORTES E INSTALACOES LTDA,"100,00",exato
PES-EAEFE4,SES,PES-EAEFE4,00525528000184,ATALIBA COMERCIO DE PECAS E REPARACAO DE VEICULOS LTDA,"100,00",exato
PES-C3560D,SEAD,PES-C3560D,13440019000109,INFRAREDES AUTOMACAO COMERCIAL E PROJETOS DE REDES LTDA,"100,00",exato
PES-B46720,SES,PES-B46720,18422079000104,CLINICA MASTER SAUDE LTDA,"100,00",exato
PES-C621A0,SEJUSC,PES-C621A0,06939058000181,PRIVADO ENGENHARIA LTDA,"100,00",exato
PES-C93692,CETAM,PES-C93692,43192716000140,DAVIDSON SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA,"100,00",exato
PES-CEBE4E,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-CEBE4E,11588406000153,ANC TECNOLOGIA DA INFORMACAO LTDA,"100,00",exato
PES-D782F2,CASA_CIVIL,PES-D782F2,30105562000160,LOAH SERVICOS EMPRESARIAL LTDA,"100,00",exato
PES-D782F2,SSP,PES-D782F2,30105562000160,LOAH SERVICOS EMPRESARIAL LTDA,"100,00",exato
PES-3EF8A6,FAPEAM,PES-3EF8A6,41350886000180,ATLAS COMERCIO DE MAQUINAS E SERVICOS DE MANUTENCAO LTDA,"100,00",exato
PES-3EF8A6,IDAM,PES-3EF8A6,41350886000180,ATLAS COMERCIO DE MAQUINAS E SERVICOS DE MANUTENCAO LTDA,"100,00",exato
PES-3EF8A6,SEDECTI,PES-3EF8A6,41350886000180,ATLAS COMERCIO DE MAQUINAS E SERVICOS DE MANUTENCAO LTDA,"100,00",exato
PES-7904DA,SEJEL,PES-7904DA,11519176000170,E B SERVICOS EMPRESARIAIS CONSULTORIA E CONSTRUCAO LTDA,"100,00",exato
PES-F6B1E1,SES,PES-F6B1E1,30076119000109,MORAES E MORAES LTDA,"100,00",exato
PES-79558E,DETRAN,PES-79558E,01758477000101,AUTO ESCOLA SABBA LTDA,"100,00",exato
PES-E46B03,POLICIA_CIVIL,PES-E46B03,02751940000148,CARLOS MAGNO DE SOUZA MEDEIROS E CIA LTDA,"100,00",exato
PES-99D898,SES,PES-99D898,23407907000175,CENTRO MEDICO PSICOLOGICO AYRAO LTDA,"100,00",exato
PES-AED7C4,DETRAN,PES-AED7C4,04770620000160,CLIMEP CLINICA MEDICA E PSICOLOGICA LTDA.,"100,00",exato
PES-7949FA,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-7949FA,20428352000150,AUTOESCOLA SANTA CECILIA FORMACAO DE CONDUTORES LTDA,"100,00",exato
PES-DC3080,SES,PES-DC3080,19307972000151,J. M. RIBEIRO MORAIS LTDA,"100,00",exato
PES-E4FCBD,SEJUSC,PES-E4FCBD,39415175000103,"M S DE ARAUJO SERVICOS EM SEGURANCA, LIMPEZA E ALUGUEL DE VEICULOS LTDA","100,00",exato
PES-F151C3,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-F151C3,33761490000106,FREITAS E SANTANA LTDA,"100,00",exato
PES-2DADD4,SES,PES-2DADD4,00561850000169,CLIMEPSI CLINICA MEDICA PSICOLOGICA LTDA,"100,00",exato
PES-3ADF17,SECT,PES-3ADF17,25403331000101,AUTO ESCOLA PRESIDENTE FIGUEIREDO LTDA,"100,00",exato
PES-7949FA,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-7949FA,43368603000153,PSITRANSITO ATIVIDADES PROFISSIONAIS NA AREA DE SAUDE LTDA,"100,00",exato
PES-7C1D74,SES,PES-7C1D74,43120272000138,CLINICA DO TRANSITO BIOHUMAITA LTDA,"100,00",exato
PES-67ACF4,CASA_CIVIL,PES-67ACF4,84664143000198,CASINO CONFECCOES LTDA,"100,00",exato
PES-DDFE20,SES,PES-DDFE20,34914070000177,DEMARCA VIA SINALIZACOES E TECNOLOGIA LTDA,"100,00",exato
PES-F00702,SEAS,PES-F00702,41135471000194,P E P EVENTOS EMPRESARIAIS LTDA,"100,00",exato
PES-1A8E6B,CASA_CIVIL,PES-1A8E6B,84471788000104,"TH - EVENTOS, PASSAGENS E TURISMO LTDA","100,00",exato
PES-D16213,SEFAZ,PES-D16213,15330588000119,AXTRON SERVICOS TECNOLOGICOS LTDA,"100,00",exato
PES-DF3015,APOSENTADOS_EXECUTIVO 21-21-25-363,PES-DF3015,07288667000180,"WSA - SERVICOS, COMERCIO E INDUSTRIA LTDA","100,00",exato
