empresaId:ID(Empresa),cnpj,razao_social
04966594000140,04966594000140,ARNORTE REFRIGERACAO E AR CONDICIONADO LIMITADA
54102785000132,54102785000132,EDITORA N D J LTDA
05503214000102,05503214000102,FABITECK SANEAMENTO LIMITADA
01676099000109,01676099000109,POLO TELECOM COMERCIO E SERVICOS LTDA
04407920000180,04407920000180,PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A
14181341000115,14181341000115,UATUMA TURISMO E EVENTOS LTDA
06108422000161,06108422000161,FM INDUSTRIA GRAFICA E LOCACAO DE MAQUINAS E EQUIPAMENTOS LTDA
10770839000162,10770839000162,ETEVALDO R. DA SILVA
08390065000100,08390065000100,J.B.V. SERVICOS DE BUFE LTDA
47866934000174,47866934000174,TICKET SERVICOS SA
04744916000107,04744916000107,SERV ENGENHARIA E TECNOLOGIA DA INFORMACAO LTDA
02742284000117,02742284000117,INTELLI PROJETOS E CONSTRUCOES LTDA
01756239000159,01756239000159,CR OBRAS DA CONSTRUCAO LTDA
34028316000375,34028316000375,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS
02341467000120,02341467000120,AMAZONAS ENERGIA S.A
29739737001184,29739737001184,ELEVADORES OTIS LTDA
84113638000129,84113638000129,PARTNER INDUSTRIA GRAFICA DA AMAZONIA LTDA
69034668000156,69034668000156,PLUXEE BENEFICIOS BRASIL S.A.
00984730000174,00984730000174,RUDARY PRESTADORA DE SERVICOS DO AMAZONAS LTDA
90347840001602,90347840001602,TK ELEVADORES BRASIL LTDA
01426987000173,01426987000173,PLASTIFLEX EMPREENDIMENTOS DA AMAZONIA LTDA
63728968000159,63728968000159,R P DE ANDRADE FILHO
10755534000181,10755534000181,G. DA SILVA FIGUEIREDO LTDA
07862488000105,07862488000105,HIZZO LUXOR EMPREENDIMENTOS LTDA
30306294000145,30306294000145,BANCO BTG PACTUAL S.A.
29739737002660,29739737002660,ELEVADORES OTIS LTDA
12114056000156,12114056000156,GENESYS SERVICOS E COMERCIO DE MATERIAIS ELETRICOS LTDA
33530486000129,33530486000129,EMPRESA BRASILEIRA DE TELECOMUNICACOES S A EMBRATEL
